name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,ast_seq,code_tokens
org.apache.log4j.chainsaw.XMLFileHandler,8,2,0,4,22,4,1,3,4,0.767857143,273,1.0,2,0.708333333,0.291666667,1,2,31.125,6,2.375,3,PackageDeclaration_org.apache.log4j.chainsaw ClassDeclaration_XMLFileHandler FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ ConstructorDeclaration_XMLFileHandler FormalParameter_aModel StatementExpression_ MethodDeclaration_startDocument StatementExpression_ MethodDeclaration_characters FormalParameter_aChars FormalParameter_aStart FormalParameter_aLength IfStatement_ BlockStatement_ StatementExpression_ IfStatement_ BlockStatement_ StatementExpression_ IfStatement_ BlockStatement_ LocalVariableDeclaration_ StatementExpression_ MethodInvocation_ IfStatement_ BlockStatement_ StatementExpression_ MethodInvocation_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ MethodDeclaration_endElement FormalParameter_aNamespaceURI FormalParameter_aLocalName FormalParameter_aQName IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ IfStatement_ BlockStatement_ StatementExpression_ MethodDeclaration_startElement FormalParameter_aNamespaceURI FormalParameter_aLocalName FormalParameter_aQName FormalParameter_aAtts IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ MethodInvocation_ MethodInvocation_ MethodInvocation_ MethodInvocation_ IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ IfStatement_ MethodInvocation_ BlockStatement_ StatementExpression_ MethodDeclaration_getNumEvents ReturnStatement_ MethodDeclaration_addEvent StatementExpression_ MethodInvocation_ StatementExpression_ MethodDeclaration_resetData StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_,"package org apache log4j chainsaw import java util StringTokenizer import org apache log4j Priority import org xml sax Attributes import org xml sax SAXException import org xml sax helpers DefaultHandler class XMLFileHandler extends DefaultHandler private static final String TAG_EVENT ""log4j:event"" private static final String TAG_MESSAGE ""log4j:message"" private static final String TAG_NDC ""log4j:NDC"" private static final String TAG_THROWABLE ""log4j:throwable"" private static final String TAG_LOCATION_INFO ""log4j:locationInfo"" private final MyTableModel mModel private int mNumEvents private String mCurrentElement private long mTimeStamp private Priority mPriority private String mCategoryName private String mNDC private String mThreadName private String mMessage private String mThrowableStrRep private String mLocationDetails XMLFileHandler MyTableModel aModel mModel aModel public void startDocument throws SAXException mNumEvents 0 public void characters char aChars int aStart int aLength if mCurrentElement TAG_NDC mNDC new String aChars aStart aLength else if mCurrentElement TAG_MESSAGE mMessage new String aChars aStart aLength else if mCurrentElement TAG_THROWABLE final StringTokenizer st new StringTokenizer new String aChars aStart aLength ""\t"" mThrowableStrRep new String st countTokens if mThrowableStrRep length 0 mThrowableStrRep 0 st nextToken for int i 1 i mThrowableStrRep length i mThrowableStrRep i ""\t"" st nextToken public void endElement String aNamespaceURI String aLocalName String aQName if TAG_EVENT equals aQName addEvent resetData else if mCurrentElement TAG_EVENT mCurrentElement TAG_EVENT public void startElement String aNamespaceURI String aLocalName String aQName Attributes aAtts if TAG_EVENT equals aQName mThreadName aAtts getValue ""thread"" mTimeStamp Long parseLong aAtts getValue ""timestamp"" mCategoryName aAtts getValue ""category"" mPriority Priority toPriority aAtts getValue ""level"" else if TAG_LOCATION_INFO equals aQName mLocationDetails aAtts getValue ""class"" ""."" aAtts getValue ""method"" ""("" aAtts getValue ""file"" "":"" aAtts getValue ""line"" "")"" else if TAG_NDC equals aQName mCurrentElement TAG_NDC else if TAG_MESSAGE equals aQName mCurrentElement TAG_MESSAGE else if TAG_THROWABLE equals aQName mCurrentElement TAG_THROWABLE int getNumEvents return mNumEvents private void addEvent mModel addEvent new EventDetails mTimeStamp mPriority mCategoryName mNDC mThreadName mMessage mThrowableStrRep mLocationDetails mNumEvents private void resetData mTimeStamp 0 mPriority null mCategoryName null mNDC null mThreadName null mMessage null mThrowableStrRep null mLocationDetails null"
org.apache.log4j.spi.Configurator,1,1,0,7,1,0,6,1,1,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,2,PackageDeclaration_org.apache.log4j.spi InterfaceDeclaration_Configurator ConstantDeclaration_ MethodDeclaration_doConfigure FormalParameter_url FormalParameter_repository,"package org apache log4j spi import org apache log4j spi LoggerRepository import java net URL public interface Configurator public static final String INHERITED ""inherited"" void doConfigure URL url LoggerRepository repository"
org.apache.log4j.nt.test.NTMin,7,1,0,6,30,17,0,6,2,0.75,144,0.0,1,0.0,0.277777778,0,0,19.28571429,2,0.8571,1,PackageDeclaration_org.apache.log4j.nt.test ClassDeclaration_NTMin FieldDeclaration_ MethodInvocation_ MethodInvocation_ MethodDeclaration_main FormalParameter_argv StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodDeclaration_Usage FormalParameter_msg StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodDeclaration_init StatementExpression_ MethodInvocation_ MethodDeclaration_test FormalParameter_host StatementExpression_ MethodInvocation_ LocalVariableDeclaration_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_,"package org apache log4j nt test import org apache log4j Category import org apache log4j BasicConfigurator import org apache log4j nt NTEventLogAppender import org apache log4j Priority import org apache log4j NDC public class NTMin static Category cat Category getInstance NTMin class getName public static void main String argv init test ""someHost"" static void Usage String msg System err println msg System err println ""Usage: java "" NTMin class """" System exit 1 static void init BasicConfigurator configure new NTEventLogAppender static void test String host NDC push host int i 0 cat debug ""Message "" i cat info ""Message "" i cat warn ""Message "" i cat error ""Message "" i cat log Priority FATAL ""Message "" i cat debug ""Message "" i new Exception ""Just testing."""
org.apache.log4j.or.DefaultRenderer,2,1,0,2,4,1,1,1,1,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,2,PackageDeclaration_org.apache.log4j.or ClassDeclaration_DefaultRenderer ConstructorDeclaration_DefaultRenderer MethodDeclaration_doRender FormalParameter_o ReturnStatement_ MethodInvocation_,package org apache log4j or class DefaultRenderer implements ObjectRenderer DefaultRenderer public String doRender Object o return o toString
org.apache.log4j.varia.FallbackErrorHandler,8,1,0,6,22,22,0,6,8,0.714285714,157,0.0,2,0.0,0.339285714,0,0,18.25,2,1.125,3,PackageDeclaration_org.apache.log4j.varia ClassDeclaration_FallbackErrorHandler FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ ConstructorDeclaration_FallbackErrorHandler MethodDeclaration_setLogger FormalParameter_logger StatementExpression_ MethodInvocation_ MethodInvocation_ IfStatement_ BlockStatement_ StatementExpression_ StatementExpression_ MethodInvocation_ MethodDeclaration_activateOptions MethodDeclaration_error FormalParameter_message FormalParameter_e FormalParameter_errorCode StatementExpression_ MethodInvocation_ MethodDeclaration_error FormalParameter_message FormalParameter_e FormalParameter_errorCode FormalParameter_event ForStatement_ VariableDeclaration_ MethodInvocation_ BlockStatement_ LocalVariableDeclaration_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodDeclaration_error FormalParameter_message MethodDeclaration_setAppender FormalParameter_primary StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodDeclaration_setBackupAppender FormalParameter_backup StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_,"package org apache log4j varia import org apache log4j spi ErrorHandler import org apache log4j spi LoggingEvent import org apache log4j Appender import org apache log4j Logger import org apache log4j helpers LogLog import java util Vector public class FallbackErrorHandler implements ErrorHandler Appender backup Appender primary Vector loggers public FallbackErrorHandler public void setLogger Logger logger LogLog debug ""FB: Adding logger ["" logger getName ""]."" if loggers null loggers new Vector loggers addElement logger public void activateOptions public void error String message Exception e int errorCode error message e errorCode null public void error String message Exception e int errorCode LoggingEvent event for int i 0 i loggers size i Logger l Logger loggers elementAt i LogLog debug ""FB: Searching for ["" primary getName ""] in logger"" l getName LogLog debug ""FB: Replacing ["" primary getName ""] by ["" backup getName "" in logger"" l l removeAppender primary LogLog debug ""FB: Adding appender ["" backup getName ""] to logger "" l getName l addAppender backup public void error String message public void setAppender Appender primary LogLog debug ""FB: Setting primary appender to ["" primary getName ""]."" this primary primary public void setBackupAppender Appender backup LogLog debug ""FB: Setting backup appender to ["" backup getName ""]."" this backup backup"
org.apache.log4j.chainsaw.EventDetails,10,1,0,9,16,29,6,3,0,0.777777778,94,1.0,1,0.0,0.25,0,0,7.6,1,0.8,2,PackageDeclaration_org.apache.log4j.chainsaw ClassDeclaration_EventDetails FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ ConstructorDeclaration_EventDetails FormalParameter_aTimeStamp FormalParameter_aPriority FormalParameter_aCategoryName FormalParameter_aNDC FormalParameter_aThreadName FormalParameter_aMessage FormalParameter_aThrowableStrRep FormalParameter_aLocationDetails StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ StatementExpression_ ConstructorDeclaration_EventDetails FormalParameter_aEvent StatementExpression_ MethodInvocation_ MethodInvocation_ MethodInvocation_ MethodInvocation_ MethodInvocation_ MethodInvocation_ MethodDeclaration_getTimeStamp ReturnStatement_ MethodDeclaration_getPriority ReturnStatement_ MethodDeclaration_getCategoryName ReturnStatement_ MethodDeclaration_getNDC ReturnStatement_ MethodDeclaration_getThreadName ReturnStatement_ MethodDeclaration_getMessage ReturnStatement_ MethodDeclaration_getLocationDetails ReturnStatement_ MethodDeclaration_getThrowableStrRep ReturnStatement_,package org apache log4j chainsaw import org apache log4j Priority import org apache log4j spi LoggingEvent class EventDetails private final long mTimeStamp private final Priority mPriority private final String mCategoryName private final String mNDC private final String mThreadName private final String mMessage private final String mThrowableStrRep private final String mLocationDetails EventDetails long aTimeStamp Priority aPriority String aCategoryName String aNDC String aThreadName String aMessage String aThrowableStrRep String aLocationDetails mTimeStamp aTimeStamp mPriority aPriority mCategoryName aCategoryName mNDC aNDC mThreadName aThreadName mMessage aMessage mThrowableStrRep aThrowableStrRep mLocationDetails aLocationDetails EventDetails LoggingEvent aEvent this aEvent timeStamp aEvent level aEvent categoryName aEvent getNDC aEvent getThreadName aEvent getRenderedMessage aEvent getThrowableStrRep aEvent getLocationInformation null null aEvent getLocationInformation fullInfo long getTimeStamp return mTimeStamp Priority getPriority return mPriority String getCategoryName return mCategoryName String getNDC return mNDC String getThreadName return mThreadName String getMessage return mMessage String getLocationDetails return mLocationDetails String getThrowableStrRep return mThrowableStrRep
org.apache.log4j.nt.NTEventLogAppender,17,2,0,8,30,114,1,7,13,0.828125,200,1.0,0,0.642857143,0.3625,1,1,10.29411765,4,0.8235,4,PackageDeclaration_org.apache.log4j.nt ClassDeclaration_NTEventLogAppender FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ MethodInvocation_ FieldDeclaration_ MethodInvocation_ FieldDeclaration_ MethodInvocation_ FieldDeclaration_ MethodInvocation_ FieldDeclaration_ MethodInvocation_ ConstructorDeclaration_NTEventLogAppender StatementExpression_ ConstructorDeclaration_NTEventLogAppender FormalParameter_source StatementExpression_ ConstructorDeclaration_NTEventLogAppender FormalParameter_server FormalParameter_source StatementExpression_ ConstructorDeclaration_NTEventLogAppender FormalParameter_layout StatementExpression_ ConstructorDeclaration_NTEventLogAppender FormalParameter_source FormalParameter_layout StatementExpression_ ConstructorDeclaration_NTEventLogAppender FormalParameter_server FormalParameter_source FormalParameter_layout IfStatement_ BlockStatement_ StatementExpression_ IfStatement_ BlockStatement_ StatementExpression_ BlockStatement_ StatementExpression_ TryStatement_ StatementExpression_ MethodInvocation_ CatchClause_ CatchClauseParameter_e StatementExpression_ MethodInvocation_ StatementExpression_ MethodDeclaration_close MethodDeclaration_activateOptions IfStatement_ BlockStatement_ TryStatement_ StatementExpression_ MethodInvocation_ CatchClause_ CatchClauseParameter_e StatementExpression_ MethodInvocation_ StatementExpression_ MethodDeclaration_append FormalParameter_event LocalVariableDeclaration_ StatementExpression_ MethodInvocation_ MethodInvocation_ IfStatement_ MethodInvocation_ BlockStatement_ LocalVariableDeclaration_ MethodInvocation_ IfStatement_ BlockStatement_ LocalVariableDeclaration_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ LocalVariableDeclaration_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ MethodDeclaration_finalize StatementExpression_ MethodInvocation_ StatementExpression_ MethodDeclaration_setSource FormalParameter_source StatementExpression_ MethodInvocation_ MethodDeclaration_getSource ReturnStatement_ MethodDeclaration_requiresLayout ReturnStatement_ MethodDeclaration_registerEventSource FormalParameter_server FormalParameter_source MethodDeclaration_reportEvent FormalParameter_handle FormalParameter_message FormalParameter_level MethodDeclaration_deregisterEventSource FormalParameter_handle StatementExpression_ MethodInvocation_,"package org apache log4j nt import org apache log4j import org apache log4j spi LoggingEvent import org apache log4j Level import org apache log4j helpers LogLog import java io public class NTEventLogAppender extends AppenderSkeleton private int _handle 0 private String source null private String server null private static final int FATAL Level FATAL toInt private static final int ERROR Level ERROR toInt private static final int WARN Level WARN toInt private static final int INFO Level INFO toInt private static final int DEBUG Level DEBUG toInt public NTEventLogAppender this null null null public NTEventLogAppender String source this null source null public NTEventLogAppender String server String source this server source null public NTEventLogAppender Layout layout this null null layout public NTEventLogAppender String source Layout layout this null source layout public NTEventLogAppender String server String source Layout layout if source null source ""Log4j"" if layout null this layout new TTCCLayout else this layout layout try _handle registerEventSource server source catch Exception e e printStackTrace _handle 0 public void close public void activateOptions if source null try _handle registerEventSource server source catch Exception e LogLog error ""Could not register event source."" e _handle 0 public void append LoggingEvent event StringBuffer sbuf new StringBuffer sbuf append layout format event if layout ignoresThrowable String s event getThrowableStrRep if s null int len s length for int i 0 i len i sbuf append s i int nt_category event level toInt reportEvent _handle sbuf toString nt_category public void finalize deregisterEventSource _handle _handle 0 public void setSource String source this source source trim public String getSource return source public boolean requiresLayout return true native private int registerEventSource String server String source native private void reportEvent int handle String message int level native private void deregisterEventSource int handle static System loadLibrary ""NTEventLogAppender"""
org.apache.log4j.or.jms.MessageRenderer,2,1,0,3,22,1,1,2,2,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5,2,PackageDeclaration_org.apache.log4j.or.jms ClassDeclaration_MessageRenderer ConstructorDeclaration_MessageRenderer MethodDeclaration_doRender FormalParameter_o IfStatement_ BlockStatement_ LocalVariableDeclaration_ LocalVariableDeclaration_ TryStatement_ StatementExpression_ MethodInvocation_ SwitchStatement_ MethodInvocation_ StatementExpression_ MethodInvocation_ BreakStatement_ StatementExpression_ MethodInvocation_ BreakStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ MethodInvocation_ CatchClause_ CatchClauseParameter_e StatementExpression_ MethodInvocation_ ReturnStatement_ MethodInvocation_ BlockStatement_ ReturnStatement_ MethodInvocation_,"package org apache log4j or jms import org apache log4j helpers LogLog import org apache log4j or ObjectRenderer import javax jms Message import javax jms JMSException import javax jms DeliveryMode public class MessageRenderer implements ObjectRenderer public MessageRenderer public String doRender Object o if o instanceof Message StringBuffer sbuf new StringBuffer Message m Message o try sbuf append ""DeliveryMode="" switch m getJMSDeliveryMode case DeliveryMode NON_PERSISTENT sbuf append ""NON_PERSISTENT"" break case DeliveryMode PERSISTENT sbuf append ""PERSISTENT"" break default sbuf append ""UNKNOWN"" sbuf append "", CorrelationID="" sbuf append m getJMSCorrelationID sbuf append "", Destination="" sbuf append m getJMSDestination sbuf append "", Expiration="" sbuf append m getJMSExpiration sbuf append "", MessageID="" sbuf append m getJMSMessageID sbuf append "", Priority="" sbuf append m getJMSPriority sbuf append "", Redelivered="" sbuf append m getJMSRedelivered sbuf append "", ReplyTo="" sbuf append m getJMSReplyTo sbuf append "", Timestamp="" sbuf append m getJMSTimestamp sbuf append "", Type="" sbuf append m getJMSType catch JMSException e LogLog error ""Could not parse Message."" e return sbuf toString else return o toString"
org.apache.log4j.performance.NullAppender,6,2,0,3,8,15,0,3,6,1.0,34,0.0,0,0.818181818,0.5,1,1,4.333333333,2,0.8333,2,PackageDeclaration_org.apache.log4j.performance ClassDeclaration_NullAppender FieldDeclaration_ FieldDeclaration_ ConstructorDeclaration_NullAppender ConstructorDeclaration_NullAppender FormalParameter_layout StatementExpression_ MethodDeclaration_close MethodDeclaration_doAppend FormalParameter_event IfStatement_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodDeclaration_append FormalParameter_event MethodDeclaration_requiresLayout ReturnStatement_,package org apache log4j performance import org apache log4j Layout import org apache log4j spi LoggingEvent import org apache log4j AppenderSkeleton public class NullAppender extends AppenderSkeleton public static String s public String t public NullAppender public NullAppender Layout layout this layout layout public void close public void doAppend LoggingEvent event if layout null t layout format event s t public void append LoggingEvent event public boolean requiresLayout return true
org.apache.log4j.performance.NewVsSetLen,5,1,0,0,16,0,0,0,2,0.208333333,268,0.0,0,0.0,0.333333333,0,0,51.4,4,2.0,2,PackageDeclaration_org.apache.log4j.performance ClassDeclaration_NewVsSetLen FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ FieldDeclaration_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodDeclaration_main FormalParameter_args LocalVariableDeclaration_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ Statement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ IfStatement_ BlockStatement_ StatementExpression_ BlockStatement_ StatementExpression_ MethodDeclaration_newBuffer FormalParameter_size FormalParameter_second LocalVariableDeclaration_ MethodInvocation_ ForStatement_ VariableDeclaration_ BlockStatement_ LocalVariableDeclaration_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ ForStatement_ VariableDeclaration_ BlockStatement_ LocalVariableDeclaration_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ ReturnStatement_ MethodInvocation_ MethodDeclaration_setLen FormalParameter_size FormalParameter_second LocalVariableDeclaration_ MethodInvocation_ LocalVariableDeclaration_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ ForStatement_ VariableDeclaration_ BlockStatement_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ StatementExpression_ MethodInvocation_ ReturnStatement_ MethodInvocation_,"package org apache log4j performance public class NewVsSetLen static String s static int BIGBUF_LEN 1048576 static int SBUF_LEN 256 static int RUN_LENGTH BIGBUF_LEN 4 static char sbuf new char SBUF_LEN static char bigbuf new char BIGBUF_LEN for int i 0 i SBUF_LEN i sbuf i char i for int i 0 i BIGBUF_LEN i bigbuf i char i static public void main String args int t for int len SBUF_LEN len BIGBUF_LEN len 4 RUN_LENGTH 4 System out println ""<td>"" len ""\n"" for int second 0 second 16 System out println ""SECOND loop="" second "", RUN_LENGTH="" RUN_LENGTH "", len="" len t int newBuffer len second System out print ""<td>"" t t int setLen len second System out println "" <td>"" t "" \n"" if second 0 second 1 else second 2 static double newBuffer int size int second long before System currentTimeMillis for int i 0 i RUN_LENGTH i StringBuffer buf new StringBuffer SBUF_LEN buf append sbuf 0 sbuf length buf append bigbuf 0 size s buf toString for int x 0 x second x StringBuffer buf new StringBuffer SBUF_LEN buf append sbuf 0 SBUF_LEN s buf toString return System currentTimeMillis before 1000.0 RUN_LENGTH static double setLen int size int second long before System currentTimeMillis StringBuffer buf new StringBuffer SBUF_LEN for int i 0 i RUN_LENGTH i buf append sbuf 0 sbuf length buf append bigbuf 0 size s buf toString buf setLength 0 for int x 0 x second x buf append sbuf 0 SBUF_LEN s buf toString buf setLength 0 return System currentTimeMillis before 1000.0 RUN_LENGTH"
